timestamp,city,temperature,description
2026-03-27T13:21:01.405Z,Ararangua,30.83,clear sky
2026-03-27T14:58:01.633Z,Ararangua,32.32,clear sky
2026-03-27T17:01:36.705Z,Ararangua,32.22,clear sky
2026-03-27T19:04:26.841Z,Ararangua,31.25,few clouds
2026-03-27T20:49:01.728Z,Ararangua,28.85,few clouds
2026-03-27T22:40:39.218Z,Ararangua,26.92,clear sky
2026-03-28T02:45:21.664Z,Ararangua,24.53,clear sky
2026-03-28T05:23:24.761Z,Ararangua,25.67,clear sky
2026-03-28T07:07:00.084Z,Ararangua,26.83,clear sky
2026-03-28T08:50:40.937Z,Ararangua,26.45,clear sky
2026-03-28T10:39:00.170Z,Ararangua,27.47,clear sky
2026-03-28T13:08:49.904Z,Ararangua,31,clear sky
2026-03-28T14:38:18.896Z,Ararangua,33.54,clear sky
2026-03-28T16:42:11.312Z,Ararangua,33.78,clear sky
2026-03-28T18:52:14.732Z,Ararangua,30.52,clear sky
2026-03-28T20:39:17.374Z,Ararangua,29.61,clear sky
2026-03-28T22:36:30.994Z,Ararangua,26.72,clear sky
2026-03-29T03:18:20.894Z,Ararangua,25.32,clear sky
2026-03-29T05:45:42.565Z,Ararangua,23.59,few clouds
2026-03-29T07:13:27.101Z,Ararangua,23.37,clear sky
2026-03-29T08:50:45.016Z,Ararangua,26.03,clear sky
2026-03-29T10:41:36.395Z,Ararangua,28.11,clear sky
2026-03-29T13:10:02.056Z,Ararangua,30.98,clear sky
2026-03-29T14:39:38.396Z,Ararangua,32.33,clear sky
2026-03-29T16:42:29.442Z,Ararangua,30.8,clear sky
2026-03-29T18:54:03.916Z,Ararangua,30.31,clear sky
2026-03-29T20:40:45.221Z,Ararangua,27.78,clear sky
2026-03-29T22:38:47.781Z,Ararangua,26.24,clear sky
2026-03-30T03:21:33.498Z,Ararangua,25.07,broken clouds
2026-03-30T06:02:36.234Z,Ararangua,24.06,broken clouds
2026-03-30T09:21:03.231Z,Ararangua,23.54,overcast clouds
2026-03-30T11:09:26.374Z,Ararangua,24.45,overcast clouds
2026-03-30T13:49:11.047Z,Ararangua,29.28,scattered clouds
2026-03-30T15:11:36.604Z,Ararangua,29.81,scattered clouds
2026-03-30T17:03:50.557Z,Ararangua,29.77,broken clouds
2026-03-30T19:09:25.286Z,Ararangua,27.35,overcast clouds
2026-03-30T20:54:27.873Z,Ararangua,26.01,scattered clouds
2026-03-30T22:44:51.904Z,Ararangua,24.69,scattered clouds
2026-03-31T02:54:44.040Z,Ararangua,23.38,clear sky
2026-03-31T05:46:46.380Z,Ararangua,22.02,clear sky
2026-03-31T07:26:30.870Z,Ararangua,22.14,few clouds
2026-03-31T09:09:41.512Z,Ararangua,21.68,few clouds
2026-03-31T11:01:10.966Z,Ararangua,22.74,few clouds
2026-03-31T13:48:27.148Z,Ararangua,27.92,few clouds
2026-03-31T15:09:41.743Z,Ararangua,28.73,scattered clouds
2026-03-31T17:06:13.299Z,Ararangua,29.46,scattered clouds
2026-03-31T19:11:37.465Z,Ararangua,29.05,few clouds
2026-03-31T20:51:11.547Z,Ararangua,26.06,scattered clouds
2026-03-31T22:40:55.038Z,Ararangua,23.36,scattered clouds
2026-04-01T03:25:55.681Z,Ararangua,23.8,clear sky
2026-04-01T05:59:14.723Z,Ararangua,22.71,few clouds
2026-04-01T07:48:40.572Z,Ararangua,22.35,scattered clouds
2026-04-01T09:15:37.276Z,Ararangua,22.27,few clouds
2026-04-01T11:04:49.056Z,Ararangua,24.19,few clouds
2026-04-01T13:51:22.794Z,Ararangua,30.25,clear sky
2026-04-01T15:13:03.146Z,Ararangua,30.34,clear sky
2026-04-01T17:03:40.166Z,Ararangua,31.83,clear sky
2026-04-01T19:12:57.966Z,Ararangua,31.27,clear sky
2026-04-01T20:53:57.665Z,Ararangua,28.92,clear sky
2026-04-01T22:47:18.391Z,Ararangua,27.32,few clouds
2026-04-02T02:50:57.415Z,Ararangua,25.31,clear sky
2026-04-02T05:44:21.642Z,Ararangua,24.33,few clouds
2026-04-02T07:22:50.222Z,Ararangua,24.27,broken clouds
2026-04-02T09:07:23.226Z,Ararangua,24.31,broken clouds
2026-04-02T10:58:26.148Z,Ararangua,25.57,broken clouds
2026-04-02T13:41:44.235Z,Ararangua,29.56,overcast clouds
2026-04-02T15:03:41.766Z,Ararangua,30.86,overcast clouds
2026-04-02T17:02:37.056Z,Ararangua,31.58,broken clouds
2026-04-02T19:08:51.672Z,Ararangua,29.82,scattered clouds
2026-04-02T20:42:06.286Z,Ararangua,25.76,broken clouds
2026-04-02T22:39:05.128Z,Ararangua,22.89,broken clouds
2026-04-03T02:53:36.451Z,Ararangua,25.1,clear sky
2026-04-03T05:44:36.488Z,Ararangua,24.13,clear sky
2026-04-03T07:19:19.553Z,Ararangua,23.72,clear sky
2026-04-03T09:03:16.578Z,Ararangua,23.16,clear sky
2026-04-03T10:51:22.563Z,Ararangua,23.99,clear sky
2026-04-03T13:18:01.508Z,Ararangua,28.37,clear sky
2026-04-03T14:52:05.263Z,Ararangua,30.44,clear sky
2026-04-03T16:50:59.293Z,Ararangua,30.2,clear sky
2026-04-03T18:57:09.975Z,Ararangua,28.87,clear sky
2026-04-03T20:44:15.951Z,Ararangua,27.72,scattered clouds
2026-04-03T22:41:02.435Z,Ararangua,26.1,scattered clouds
2026-04-04T02:44:06.532Z,Ararangua,24.49,clear sky
2026-04-04T05:23:37.027Z,Ararangua,23.85,clear sky
2026-04-04T07:09:30.122Z,Ararangua,23.48,clear sky
2026-04-04T08:51:41.395Z,Ararangua,22.33,clear sky
2026-04-04T10:41:04.064Z,Ararangua,24.26,clear sky
2026-04-04T13:10:11.794Z,Ararangua,27.52,clear sky
2026-04-04T14:39:35.236Z,Ararangua,29.72,clear sky
2026-04-04T16:43:45.208Z,Ararangua,30.18,clear sky
2026-04-04T18:53:12.754Z,Ararangua,30,clear sky
2026-04-04T20:40:28.949Z,Ararangua,28.48,clear sky
2026-04-04T22:36:42.094Z,Ararangua,26.66,clear sky
2026-04-05T03:20:28.434Z,Ararangua,25.04,few clouds
2026-04-05T05:47:36.929Z,Ararangua,24.37,scattered clouds
2026-04-05T07:16:37.923Z,Ararangua,24.52,broken clouds
2026-04-05T08:53:42.098Z,Ararangua,24.28,overcast clouds
2026-04-05T10:41:59.772Z,Ararangua,23.95,overcast clouds
2026-04-05T13:11:53.215Z,Ararangua,22.08,overcast clouds
2026-04-05T14:40:26.649Z,Ararangua,21.37,overcast clouds
2026-04-05T16:44:55.526Z,Ararangua,21.13,overcast clouds
2026-04-05T18:54:54.728Z,Ararangua,22.47,overcast clouds
2026-04-05T20:41:10.638Z,Ararangua,22.5,overcast clouds
2026-04-05T22:39:03.625Z,Ararangua,23.5,overcast clouds
2026-04-06T03:23:27.944Z,Ararangua,24.48,overcast clouds
2026-04-06T09:16:53.374Z,Ararangua,23.78,overcast clouds
2026-04-06T11:03:36.705Z,Ararangua,22.49,overcast clouds
2026-04-06T13:24:12.924Z,Ararangua,23.62,overcast clouds
2026-04-06T14:55:43.912Z,Ararangua,24.81,overcast clouds
2026-04-06T16:58:06.391Z,Ararangua,25.89,overcast clouds
2026-04-06T19:11:00.169Z,Ararangua,26.62,overcast clouds
2026-04-06T20:45:04.697Z,Ararangua,25.48,light rain
2026-04-06T22:43:53.728Z,Ararangua,25.05,overcast clouds
2026-04-07T02:56:11.898Z,Ararangua,24.97,overcast clouds
2026-04-07T05:49:34.244Z,Ararangua,24.66,overcast clouds
2026-04-07T07:41:33.161Z,Ararangua,24.37,broken clouds
2026-04-07T09:12:25.569Z,Ararangua,23.88,overcast clouds
2026-04-07T11:04:20.005Z,Ararangua,24.84,overcast clouds
2026-04-07T13:45:32.186Z,Ararangua,31.04,overcast clouds
2026-04-07T15:17:05.519Z,Ararangua,32.26,overcast clouds
2026-04-07T17:09:13.302Z,Ararangua,34.15,overcast clouds
2026-04-07T19:14:41.096Z,Ararangua,32.9,overcast clouds
2026-04-07T20:56:06.431Z,Ararangua,29.57,overcast clouds
2026-04-07T22:47:11.938Z,Ararangua,27.78,overcast clouds
2026-04-08T02:57:31.077Z,Ararangua,25.99,broken clouds
2026-04-08T05:50:22.959Z,Ararangua,24.97,moderate rain
2026-04-08T07:45:11.684Z,Ararangua,24.64,overcast clouds
2026-04-08T09:11:27.552Z,Ararangua,22.85,overcast clouds
2026-04-08T11:05:13.914Z,Ararangua,23.63,overcast clouds
2026-04-08T13:47:56.436Z,Ararangua,27.93,clear sky
2026-04-08T15:18:20.521Z,Ararangua,28.92,clear sky
2026-04-08T17:13:12.525Z,Ararangua,30.38,clear sky
2026-04-08T19:26:21.737Z,Ararangua,29.04,clear sky
2026-04-08T20:53:51.751Z,Ararangua,25.71,clear sky
2026-04-08T22:50:45.427Z,Ararangua,22.53,clear sky
2026-04-09T02:52:10.802Z,Ararangua,21.81,clear sky
2026-04-09T05:51:58.876Z,Ararangua,20.53,clear sky
2026-04-09T07:47:39.724Z,Ararangua,20.11,clear sky
2026-04-09T09:17:44.474Z,Ararangua,19.83,clear sky
2026-04-09T11:05:31.539Z,Ararangua,21.5,clear sky
2026-04-09T13:58:25.008Z,Ararangua,26.9,clear sky
2026-04-09T15:45:57.991Z,Ararangua,28.01,clear sky
2026-04-09T17:14:56.968Z,Ararangua,27.4,clear sky
2026-04-09T19:17:59.205Z,Ararangua,25.86,clear sky
2026-04-09T20:58:42.686Z,Ararangua,22.32,clear sky
2026-04-09T22:50:38.564Z,Ararangua,22.49,clear sky
2026-04-10T03:23:57.995Z,Ararangua,22.14,clear sky
2026-04-10T06:02:32.851Z,Ararangua,20.42,clear sky
2026-04-10T09:17:37.734Z,Ararangua,19.74,clear sky
2026-04-10T11:02:28.191Z,Ararangua,21.15,clear sky
2026-04-10T13:25:19.854Z,Ararangua,23.97,clear sky
2026-04-10T14:55:20.615Z,Ararangua,25.25,clear sky
2026-04-10T16:57:05.275Z,Ararangua,24.97,clear sky
2026-04-10T19:03:39.713Z,Ararangua,25.83,clear sky
2026-04-10T20:47:43.370Z,Ararangua,24.16,clear sky
2026-04-10T22:45:10.117Z,Ararangua,24,clear sky
2026-04-11T02:48:24.674Z,Ararangua,21.65,clear sky
2026-04-11T05:27:02.353Z,Ararangua,21.05,clear sky
2026-04-11T07:09:13.614Z,Ararangua,19.9,clear sky
2026-04-11T08:53:52.294Z,Ararangua,15.58,clear sky
2026-04-11T10:42:23.147Z,Ararangua,18.43,clear sky
2026-04-11T13:12:52.881Z,Ararangua,24.09,clear sky
2026-04-11T14:41:28.558Z,Ararangua,27.86,clear sky
2026-04-11T16:46:03.307Z,Ararangua,29.43,clear sky
2026-04-11T18:55:41.685Z,Ararangua,28.71,clear sky
2026-04-11T20:41:48.088Z,Ararangua,26.81,clear sky
2026-04-11T22:39:13.382Z,Ararangua,25.25,clear sky
2026-04-12T03:28:01.215Z,Ararangua,24.04,scattered clouds
2026-04-12T05:58:06.175Z,Ararangua,22.72,broken clouds
2026-04-12T07:39:11.414Z,Ararangua,18.6,overcast clouds
2026-04-12T08:57:50.255Z,Ararangua,18.8,overcast clouds
2026-04-12T10:47:23.689Z,Ararangua,19.84,overcast clouds
2026-04-12T13:15:22.306Z,Ararangua,20.95,light rain
2026-04-12T14:47:34.239Z,Ararangua,21.14,overcast clouds
2026-04-12T16:49:34.331Z,Ararangua,23,overcast clouds
2026-04-12T18:59:36.049Z,Ararangua,24.96,overcast clouds
2026-04-12T20:44:30.219Z,Ararangua,25.11,overcast clouds
2026-04-12T22:41:48.531Z,Ararangua,25.15,overcast clouds
2026-04-13T03:34:38.330Z,Ararangua,24.81,overcast clouds
2026-04-13T06:21:29.421Z,Ararangua,23.77,overcast clouds
2026-04-13T10:01:42.581Z,Ararangua,22.1,broken clouds
2026-04-13T13:56:02.326Z,Ararangua,28.97,overcast clouds
2026-04-13T15:22:26.690Z,Ararangua,30.4,broken clouds
2026-04-13T17:12:26.137Z,Ararangua,30,scattered clouds
2026-04-13T19:22:19.381Z,Ararangua,28.22,clear sky
2026-04-13T21:02:27.575Z,Ararangua,26.18,clear sky
2026-04-13T22:51:34.347Z,Ararangua,24.51,clear sky
2026-04-14T03:24:20.906Z,Ararangua,23.03,few clouds
2026-04-14T06:04:27.210Z,Ararangua,22.67,broken clouds
2026-04-14T09:26:04.737Z,Ararangua,21.27,broken clouds
2026-04-14T11:09:50.621Z,Ararangua,22.31,scattered clouds
2026-04-14T14:00:13.442Z,Ararangua,26.69,overcast clouds
2026-04-14T15:21:38.447Z,Ararangua,28,broken clouds
2026-04-14T17:17:45.765Z,Ararangua,29.65,broken clouds
2026-04-14T19:25:30.876Z,Ararangua,28.53,overcast clouds
2026-04-14T21:02:02.918Z,Ararangua,26.44,broken clouds
2026-04-14T22:52:27.204Z,Ararangua,25.45,scattered clouds
2026-04-15T03:22:00.811Z,Ararangua,24.15,overcast clouds
2026-04-15T06:04:10.445Z,Ararangua,22.8,broken clouds
2026-04-15T09:27:16.459Z,Ararangua,21.98,few clouds
2026-04-15T11:06:12.881Z,Ararangua,22.67,scattered clouds
2026-04-15T13:53:27.110Z,Ararangua,27.17,broken clouds
2026-04-15T15:11:15.627Z,Ararangua,28.3,broken clouds
2026-04-15T17:13:49.031Z,Ararangua,28.72,scattered clouds
2026-04-15T19:27:52.534Z,Ararangua,27.21,overcast clouds
2026-04-15T20:58:59.173Z,Ararangua,24.95,broken clouds
2026-04-15T22:49:39.433Z,Ararangua,24.67,overcast clouds
2026-04-16T03:30:36.013Z,Ararangua,24.32,overcast clouds
2026-04-16T06:06:46.233Z,Ararangua,23.91,overcast clouds
2026-04-16T09:26:04.589Z,Ararangua,23.42,overcast clouds
2026-04-16T11:10:26.380Z,Ararangua,24.28,overcast clouds
2026-04-16T14:02:53.261Z,Ararangua,28.15,scattered clouds
2026-04-16T17:22:21.186Z,Ararangua,29.43,broken clouds
2026-04-16T19:24:43.937Z,Ararangua,29.37,clear sky
2026-04-16T20:56:25.057Z,Ararangua,28.24,clear sky
2026-04-16T22:51:00.018Z,Ararangua,26.53,clear sky
2026-04-17T03:25:42.600Z,Ararangua,25.01,few clouds
2026-04-17T06:07:46.873Z,Ararangua,24.34,scattered clouds
2026-04-17T09:24:59.591Z,Ararangua,23.86,overcast clouds
2026-04-17T11:03:36.383Z,Ararangua,24.69,broken clouds
2026-04-17T13:45:12.748Z,Ararangua,28.05,clear sky
2026-04-17T15:01:17.009Z,Ararangua,28.74,few clouds
2026-04-17T16:59:31.932Z,Ararangua,29.93,scattered clouds
2026-04-17T19:11:09.412Z,Ararangua,28.59,scattered clouds
2026-04-17T20:54:32.420Z,Ararangua,26.44,few clouds
2026-04-17T22:50:28.170Z,Ararangua,25.03,scattered clouds
2026-04-18T02:56:40.719Z,Ararangua,23.82,scattered clouds
2026-04-18T05:44:15.655Z,Ararangua,22.87,scattered clouds
2026-04-18T07:18:30.767Z,Ararangua,22.67,clear sky
2026-04-18T08:58:54.343Z,Ararangua,21.73,scattered clouds
2026-04-18T10:49:32.890Z,Ararangua,22.71,scattered clouds
2026-04-18T13:15:51.331Z,Ararangua,26.07,clear sky
2026-04-18T14:48:34.491Z,Ararangua,28.45,clear sky
2026-04-18T16:51:27.452Z,Ararangua,29.94,clear sky
2026-04-18T19:00:28.331Z,Ararangua,28.49,clear sky
2026-04-18T20:44:58.661Z,Ararangua,25.93,clear sky
2026-04-18T22:41:42.084Z,Ararangua,24.01,clear sky
2026-04-19T03:32:43.550Z,Ararangua,21.83,clear sky
2026-04-19T06:02:40.709Z,Ararangua,20.85,clear sky
2026-04-19T09:00:51.773Z,Ararangua,20.18,clear sky
2026-04-19T10:49:04.559Z,Ararangua,21.81,clear sky
2026-04-19T13:15:56.758Z,Ararangua,25.91,clear sky
2026-04-19T14:48:40.169Z,Ararangua,27.76,clear sky
2026-04-19T16:51:20.994Z,Ararangua,28.74,clear sky
2026-04-19T19:00:42.149Z,Ararangua,27.95,clear sky
2026-04-19T20:46:31.642Z,Ararangua,22.56,clear sky
2026-04-19T22:42:45.318Z,Ararangua,23.65,clear sky
2026-04-20T03:34:47.482Z,Ararangua,22,clear sky
2026-04-20T06:21:37.607Z,Ararangua,21.24,clear sky
2026-04-20T10:04:31.322Z,Ararangua,18.01,broken clouds
